Time resolution is 1 ps
t=              470000, clk=1, reset=0, enable=1, we=0, wra=06, wrd=  0, t1attempts=007, t1fails=000, t2attempts=000, t2fails=000
t=              480000, clk=0, reset=0, enable=1, we=1, wra=07, wrd=  0, t1attempts=008, t1fails=000, t2attempts=000, t2fails=000
t=              490000, clk=1, reset=0, enable=1, we=1, wra=07, wrd=  0, t1attempts=008, t1fails=000, t2attempts=000, t2fails=000
t=              500000, clk=0, reset=0, enable=1, we=0, wra=07, wrd=  0, t1attempts=008, t1fails=000, t2attempts=000, t2fails=000
t=              510000, clk=1, reset=0, enable=1, we=0, wra=07, wrd=  0, t1attempts=008, t1fails=000, t2attempts=000, t2fails=000
t=              520000, clk=0, reset=0, enable=1, we=0, wra=07, wrd=  0, t1attempts=008, t1fails=000, t2attempts=000, t2fails=000
t=              530000, clk=1, reset=0, enable=1, we=0, wra=07, wrd=  0, t1attempts=008, t1fails=000, t2attempts=000, t2fails=000
t=              540000, clk=0, reset=0, enable=1, we=1, wra=08, wrd=  0, t1attempts=009, t1fails=000, t2attempts=000, t2fails=000
t=              550000, clk=1, reset=0, enable=1, we=1, wra=08, wrd=  0, t1attempts=009, t1fails=000, t2attempts=000, t2fails=000
t=              560000, clk=0, reset=0, enable=1, we=0, wra=08, wrd=  0, t1attempts=009, t1fails=000, t2attempts=000, t2fails=000
t=              570000, clk=1, reset=0, enable=1, we=0, wra=08, wrd=  0, t1attempts=009, t1fails=000, t2attempts=000, t2fails=000
t=              580000, clk=0, reset=0, enable=1, we=0, wra=08, wrd=  0, t1attempts=009, t1fails=000, t2attempts=000, t2fails=000
t=              590000, clk=1, reset=0, enable=1, we=0, wra=08, wrd=  0, t1attempts=009, t1fails=000, t2attempts=000, t2fails=000
t=              600000, clk=0, reset=0, enable=1, we=1, wra=09, wrd=  0, t1attempts=00a, t1fails=000, t2attempts=000, t2fails=000
t=              610000, clk=1, reset=0, enable=1, we=1, wra=09, wrd=  0, t1attempts=00a, t1fails=000, t2attempts=000, t2fails=000
t=              620000, clk=0, reset=0, enable=1, we=0, wra=09, wrd=  0, t1attempts=00a, t1fails=000, t2attempts=000, t2fails=000
t=              630000, clk=1, reset=0, enable=1, we=0, wra=09, wrd=  0, t1attempts=00a, t1fails=000, t2attempts=000, t2fails=000
t=              640000, clk=0, reset=0, enable=1, we=0, wra=09, wrd=  0, t1attempts=00a, t1fails=000, t2attempts=000, t2fails=000
t=              650000, clk=1, reset=0, enable=1, we=0, wra=09, wrd=  0, t1attempts=00a, t1fails=000, t2attempts=000, t2fails=000
t=              660000, clk=0, reset=0, enable=1, we=1, wra=0a, wrd=  0, t1attempts=00b, t1fails=000, t2attempts=000, t2fails=000
t=              670000, clk=1, reset=0, enable=1, we=1, wra=0a, wrd=  0, t1attempts=00b, t1fails=000, t2attempts=000, t2fails=000
t=              680000, clk=0, reset=0, enable=1, we=0, wra=0a, wrd=  0, t1attempts=00b, t1fails=000, t2attempts=000, t2fails=000
t=              690000, clk=1, reset=0, enable=1, we=0, wra=0a, wrd=  0, t1attempts=00b, t1fails=000, t2attempts=000, t2fails=000
t=              700000, clk=0, reset=0, enable=1, we=0, wra=0a, wrd=  0, t1attempts=00b, t1fails=000, t2attempts=000, t2fails=000
t=              710000, clk=1, reset=0, enable=1, we=0, wra=0a, wrd=  0, t1attempts=00b, t1fails=000, t2attempts=000, t2fails=000
t=              720000, clk=0, reset=0, enable=1, we=1, wra=0b, wrd=  0, t1attempts=00c, t1fails=000, t2attempts=000, t2fails=000
t=              730000, clk=1, reset=0, enable=1, we=1, wra=0b, wrd=  0, t1attempts=00c, t1fails=000, t2attempts=000, t2fails=000
t=              740000, clk=0, reset=0, enable=1, we=0, wra=0b, wrd=  0, t1attempts=00c, t1fails=000, t2attempts=000, t2fails=000
t=              750000, clk=1, reset=0, enable=1, we=0, wra=0b, wrd=  0, t1attempts=00c, t1fails=000, t2attempts=000, t2fails=000
t=              760000, clk=0, reset=0, enable=1, we=0, wra=0b, wrd=  0, t1attempts=00c, t1fails=000, t2attempts=000, t2fails=000
t=              770000, clk=1, reset=0, enable=1, we=0, wra=0b, wrd=  0, t1attempts=00c, t1fails=000, t2attempts=000, t2fails=000
t=              780000, clk=0, reset=0, enable=1, we=1, wra=0c, wrd=  0, t1attempts=00d, t1fails=000, t2attempts=000, t2fails=000
t=              790000, clk=1, reset=0, enable=1, we=1, wra=0c, wrd=  0, t1attempts=00d, t1fails=000, t2attempts=000, t2fails=000
t=              800000, clk=0, reset=0, enable=1, we=0, wra=0c, wrd=  0, t1attempts=00d, t1fails=000, t2attempts=000, t2fails=000
t=              810000, clk=1, reset=0, enable=1, we=0, wra=0c, wrd=  0, t1attempts=00d, t1fails=000, t2attempts=000, t2fails=000
t=              820000, clk=0, reset=0, enable=1, we=0, wra=0c, wrd=  0, t1attempts=00d, t1fails=000, t2attempts=000, t2fails=000
t=              830000, clk=1, reset=0, enable=1, we=0, wra=0c, wrd=  0, t1attempts=00d, t1fails=000, t2attempts=000, t2fails=000
t=              840000, clk=0, reset=0, enable=1, we=1, wra=0d, wrd=  0, t1attempts=00e, t1fails=000, t2attempts=000, t2fails=000
t=              850000, clk=1, reset=0, enable=1, we=1, wra=0d, wrd=  0, t1attempts=00e, t1fails=000, t2attempts=000, t2fails=000
t=              860000, clk=0, reset=0, enable=1, we=0, wra=0d, wrd=  0, t1attempts=00e, t1fails=000, t2attempts=000, t2fails=000
t=              870000, clk=1, reset=0, enable=1, we=0, wra=0d, wrd=  0, t1attempts=00e, t1fails=000, t2attempts=000, t2fails=000
t=              880000, clk=0, reset=0, enable=1, we=0, wra=0d, wrd=  0, t1attempts=00e, t1fails=000, t2attempts=000, t2fails=000
t=              890000, clk=1, reset=0, enable=1, we=0, wra=0d, wrd=  0, t1attempts=00e, t1fails=000, t2attempts=000, t2fails=000
